label,mode,cyc,I,enable,op_slot_1_A,AN_slot_1_A,B_slot_1_A,Y_slot_1_A
t05_slot_1_A_k4,81,94,0,1,0,1,1,0
t05_slot_1_A_k4,81,95,0,1,0,1,1,0
t05_slot_1_A_k4,81,96,0,1,0,1,1,0
t05_slot_1_A_k4,81,97,0,1,0,1,1,0
t05_slot_1_A_k4,81,98,0,1,0,1,1,0
t05_slot_1_A_k4,81,99,0,1,0,1,1,0
t05_slot_1_A_k4,81,100,0,1,0,1,1,0
t05_slot_1_A_k4,81,101,0,1,0,1,1,0
t05_slot_1_A_k4,81,102,0,1,0,1,1,0
t05_slot_1_A_k4,81,103,0,1,0,1,1,0
t05_slot_1_A_k4,81,104,0,1,0,1,1,0
t05_slot_1_A_k4,81,105,0,1,0,1,1,0
t05_slot_1_A_k4,81,106,0,1,0,1,1,0
