mode,cyc,S,A0,A1,X,a31o_X,sticky_Q
I1_@4,115,0,1,0,1,1,1
I1_@4,116,0,1,0,1,1,1
I1_@4,117,0,1,0,1,1,1
I1_@4,118,0,1,0,1,1,1
I1_@4,119,0,1,0,1,1,1
I1_@4,120,0,1,0,1,1,1
I1_@5,0,0,1,0,1,0,0
I1_@5,1,0,1,0,1,0,0
I1_@5,2,0,1,0,1,0,0
I1_@5,3,0,1,0,1,0,0
I1_@5,4,0,1,0,1,0,0
I1_@5,5,0,1,1,1,0,0
I1_@5,6,0,1,1,1,0,0
I1_@5,7,0,1,1,1,0,0
I1_@5,8,0,1,1,1,0,0
I1_@5,9,0,1,1,1,0,0
I1_@5,10,0,1,1,1,1,0
I1_@5,11,0,1,0,1,1,1
I1_@5,12,0,1,0,1,1,1
I1_@5,13,0,1,0,1,1,1
I1_@5,14,0,1,0,1,1,1
I1_@5,15,0,1,0,1,1,1
I1_@5,16,0,1,0,1,1,1
I1_@5,17,0,1,0,1,1,1
I1_@5,18,0,1,0,1,1,1
I1_@5,19,0,1,0,1,1,1
I1_@5,20,0,1,0,1,1,1
I1_@5,21,0,1,0,1,1,1
I1_@5,22,0,1,0,1,1,1
I1_@5,23,0,1,0,1,1,1
I1_@5,24,0,1,0,1,1,1
I1_@5,25,0,1,0,1,1,1
I1_@5,26,0,1,0,1,1,1
I1_@5,27,0,1,0,1,1,1
I1_@5,28,0,1,0,1,1,1
I1_@5,29,0,1,0,1,1,1
I1_@5,30,0,1,0,1,1,1
I1_@5,31,0,1,0,1,1,1
I1_@5,32,0,1,0,1,1,1
I1_@5,33,0,1,0,1,1,1
I1_@5,34,0,1,0,1,1,1
I1_@5,35,0,1,0,1,1,1
I1_@5,36,0,1,0,1,1,1
I1_@5,37,0,1,0,1,1,1
I1_@5,38,0,1,0,1,1,1
I1_@5,39,0,1,0,1,1,1
I1_@5,40,0,1,0,1,1,1
I1_@5,41,0,1,0,1,1,1
I1_@5,42,0,1,0,1,1,1
I1_@5,43,0,1,0,1,1,1
I1_@5,44,0,1,0,1,1,1
I1_@5,45,0,1,0,1,1,1
I1_@5,46,0,1,0,1,1,1
I1_@5,47,0,1,0,1,1,1
